ASLLEXcode,NewFileName,EntryID,Cantonese_Filtered,Cantonese ,cantonese_orig,Frank's Note,Grace's Note
B_03_007,B_03_007-GET-0P8U-162,get,攞,攞,攞,,
B_03_008,B_03_008-COOKIE-1685-163,cookie,餅乾,餅乾,餅乾,,
B_03_010,B_03_010-STARBUCKS-0PGV-164,starbucks,星巴克,星巴克,星巴克,,
B_03_011,B_03_011-BRAG-0L1P-165,brag,吹牛,吹牛,吹牛,,
B_03_012,B_03_012-LIE-12OR-166,lie,講大話,講大話,講大話,,
B_03_013,B_03_013-COMMUNICATION-0RKT-167,communication,溝通,溝通,溝通,,
B_03_014,B_03_014-WORM-120L-168,worm,蠕蟲,蠕蟲,蠕蟲,,
B_03_015,B_03_015-RUN-13EH-169,run,跑,跑,跑,,
B_03_016,B_03_016-VACATION-0K27-170,vacation,假期,假期,假期,,
B_03_017,B_03_017-SHAVE-0KI3-171,shave,剃,剃,剃,,
B_03_018,B_03_018-IMAGINE-0O7J-172,imagine,想像,想像,想像,,
B_03_019,B_03_019-THIEF_1-136A-173,thief_1,賊,賊,賊,,
B_03_021,B_03_021-^SET_UP_SHOP-12HD-175,^set_up_shop,設定（店鋪）,設定(店鋪）,,drop,
B_03_021,B_03_021-SET_UP-12HD-174,set_up,設定（軟體）,設定（軟體）,設定,,
B_03_022,B_03_022-MAYBE-0KVF-176,maybe,可能,可能,可能,,
B_03_023,B_03_023-WORLD-0JGM-177,world,世界,世界,世界,,
B_03_024,B_03_024-TALL_1-16MO-178,tall_1,高,高,高,,
B_03_025,B_03_025-FINISH-0MSC-179,finish,完成,完成,完成,,
B_03_026,B_03_026-CALL_TTY-0T98-180,call_tty,用電傳打字機,用電傳打字機,用電傳打字機,drop,
B_03_027,B_03_027-PIPE-0UT1-181,pipe,管,管,管,,
B_03_029,B_03_029-RELIGION-0MSN-182,religion,宗教,宗教,宗教,,
B_03_030,B_03_030-CABINET-0QM3-183,cabinet,櫃,櫃,櫃,,
B_03_031,B_03_031-TOURNAMENT-0QUK-184,tournament,比賽,比賽,比賽,,
B_03_032,B_03_032-MORE-0M8Q-185,more,多啲,多啲,多點,written chinese,
B_03_033,B_03_033-DONT_MIND-0L8K-186,dont_mind,唔介意,唔介意,不介意,written chinese,
B_03_036,B_03_036-^GLASS-0STR-187,^glass,玻璃,玻璃,玻璃,,
B_03_036,B_03_036-GLASSES-0TPS-188,glasses,眼鏡,眼鏡,眼鏡,,
B_03_037,B_03_037-SLEEP-12GJ-189,sleep,訓覺,訓覺,訓覺,,
B_03_038,B_03_038-INTEREST-10G8-190,interest,興趣,興趣,興趣,,
B_03_039,B_03_039-CAREFUL-0N0F-191,careful,小心,小心,小心,,
B_03_040,B_03_040-CHECK-0QL2-192,check,檢查,檢查,檢查,,
B_03_043,B_03_043-THINGS-0PRH-193,things,東西,東西,東西,,
B_03_044,B_03_044-PARENTS-0MTM-194,parents,家長,家長,家長,,
B_03_045,B_03_045-LOOK_FOR-0P1L-195,look_for,搵,搵,搵,,
B_03_046,B_03_046-LIVE_1-0T8V-196,live_1,生活,生活,生活,,
B_03_047,B_03_047-PROBLEM_2-15N3-197,problem_2,難題,難題,難題,,
B_03_048,B_03_048-TROUBLE-17LR-198,trouble,麻煩,麻煩,麻煩,,
B_03_049,B_03_049-FOR-0S5Q-199,for,為咗,為咗,為了,written chinese; 爲著，爲了,
B_03_050,B_03_050-BRAVE-0KM7-200,brave,勇敢,勇敢,勇敢,,
B_03_051,B_03_051-CHALLENGE-0OOH-201,challenge,挑戰,挑戰,挑戰,,
B_03_054,B_03_054-TEXT-0K5J-202,text,傳訊息,傳訊息,,no good corr,
B_03_055,B_03_055-BORROW-0K0V-203,borrow,借,借,借,,
B_03_056,B_03_056-WEDNESDAY-0PGV-204,wednesday,星期三,星期三,星期三,,
B_03_057,B_03_057-HAVE-0PO9-205,have,有,有,有,,
B_03_058,B_03_058-FIGHT-0OIJ-206,fight,打架,打架,打架,,
B_03_059,B_03_059-WORK-0NF5-207,work,工作,工作,工作,,
B_03_061,B_03_061-LIVE_2-0N25-208,live_2,居住,居住,居住,,
B_03_062,B_03_062-BEER-0LB4-209,beer,啤酒,啤酒,啤酒,,
B_03_063,B_03_063-HOME-0N2B-210,home,屋企,屋企,屋企,,
B_03_064,B_03_064-LAWNMOWER-0KJA-211,lawnmower,剪草機,剪草機,,no good corr,
B_03_065,B_03_065-FINGERSPELLING-0000-212,fingerspelling,,fingerspelling,,,
B_03_066,B_03_066-HEART-0NU3-213,heart,心,心,心,,
B_03_067,B_03_067-HOTDOG-0SDH-214,hotdog,熱狗,熱狗,熱狗,,
B_03_068,B_03_068-CLASS-162U-215,class,類別,類別,類別,,
B_03_070,B_03_070-KEYBOARD-14RL-216,keyboard,鍵盤,鍵盤,鍵盤,,
B_03_072,B_03_072-AND-0L0C-217,and,同埋,同埋,同埋,,
B_03_073,B_03_073-CAMERA-0TNO-218,camera,相機,相機,相機,,
B_03_073,B_03_073-^CAMERA_2-0PO9-219,^camera_2,有鏡頭的相機,有鏡頭的相機,單反,ref to Arthur's note,
B_03_074,B_03_074-FALL_1-0UEB-221,fall_1,秋天,秋天,秋天,,
B_03_075,B_03_075-WAR-0OHG-222,war,戰爭,戰爭,戰爭,,
B_03_077,B_03_077-MOVIES-15NR-223,movies,電影,電影,電影,,
B_03_078,B_03_078-LONELY-0MR4-224,lonely,孤單,孤單,孤單,,
B_03_079,B_03_079-SCARED-16IQ-225,scared,驚,驚,驚,,
B_03_080,B_03_080-HAPPEN-0TJS-226,happen,發生,發生,發生,,
B_03_081,B_03_081-GRADUATE-0TB2-227,graduate,畢業,畢業,畢業,,
B_03_082,B_03_082-EAT_2-0000-228,eat_2,,N/A,,,
B_03_083,B_03_083-EMAIL-15NR-229,email,電郵,電郵,電郵,,
B_03_084,B_03_084-RESEARCH-0U0K-230,research,研究,研究,研究,,
B_03_086,B_03_086-STUBBORN-0U3C-231,stubborn,硬頸,硬頸,硬頸,,
B_03_087,B_03_087-CUTE_1-0KVF-232,cute_1,可愛,可愛,可愛,,
B_03_089,B_03_089-RECORDING-14O4-233,recording,錄影 (單手),錄影(單手),錄影,deleted parenthesis note,
B_03_089,B_03_089-^RECORDING_2-14O4-234,^recording_2,錄影 (雙手),錄影(雙手),錄影,deleted parenthesis note,
B_03_090,B_03_090-FIRE-0S3B-235,fire,火,火,火,,
C_01_006,C_01_006-UNDERSTAND-0PGE-236,understand,明白,明白,明白,,
C_01_007,C_01_007-DRYER-0JJU-237,dryer,乾衣機,乾衣機,乾衣機,,
C_01_008,C_01_008-TALK-12OR-238,talk,講嘢,講嘢,講嘢,,
C_01_010,C_01_010-HUNGRY-104Q-239,hungry,肚餓,肚餓,肚餓,,
C_01_011,C_01_011-FAT-1055-240,fat,肥,肥,肥,,
C_01_012,C_01_012-LIGHT_WEIGHT-13OL-241,light_weight,輕,輕,輕,,
C_01_013,C_01_013-LATE-143I-242,late,遲到,遲到,遲到,,
C_01_014,C_01_014-EMBARRASS-0KFQ-243,embarrass,出醜,出醜,出醜,,
C_01_015,C_01_015-MOCK-0O35-244,mock,恥笑,恥笑,恥笑,,
C_01_016,C_01_016-FIGURE-12G8-245,figure,計數,計數,計數,,
C_01_019,C_01_019-UGLY-0QH3-246,ugly,樣衰,樣衰,樣衰,,
C_01_020,C_01_020-SORRY-0N0D-247,sorry,對唔住,對唔住,對唔住,,
C_01_022,C_01_022-PRETTY-15QQ-248,pretty,靚,靚,靚,,
